IGBP iq,i,j,rlong,rlat,iveg,frac-c4,land,isoilm,tgg2,tgg6,wb1,wb6
1,1,1,225,-35.6,0,0,F,0,292.6,248.3,0,0
2,2,1,224.3,-36.06,0,0,F,0,292.3,248.1,0,0
3,3,1,223.38,-36.56,0,0,F,0,292,247.1,0,0
4,4,1,222.3,-37.1,0,0,F,0,291.9,245.8,0,0
5,5,1,221.08,-37.67,0,0,F,0,291.7,245.6,0,0
6,6,1,219.75,-38.25,0,0,F,0,291.5,245.9,0,0
7,7,1,218.3,-38.85,0,0,F,0,291.2,246.2,0,0
8,8,1,216.75,-39.46,0,0,F,0,291.2,246.4,0,0
9,9,1,215.11,-40.07,0,0,F,0,260,245.7,0,0
10,10,1,213.37,-40.67,0,0,F,0,291.2,245.7,0,0
11,11,1,211.54,-41.26,0,0,F,0,291.2,248.4,0,0
12,12,1,209.62,-41.84,0,0,F,0,290.5,261.6,0,0
13,13,1,207.61,-42.39,0,0,F,0,290.3,279.3,0,0
14,14,1,205.53,-42.92,0,0,F,0,290.4,289.7,0,0
15,15,1,203.36,-43.42,0,0,F,0,290.4,289.6,0,0
16,16,1,201.12,-43.89,0,0,F,0,290,288.6,0,0
17,17,1,198.82,-44.31,0,0,F,0,289.8,288.7,0,0
18,18,1,196.44,-44.69,0,0,F,0,289.3,288.7,0,0
19,19,1,194.02,-45.03,0,0,F,0,288.9,288.7,0,0
20,20,1,191.54,-45.31,0,0,F,0,288.6,288.7,0,0
21,21,1,189.02,-45.54,0,0,F,0,288.5,288.7,0,0
22,22,1,186.47,-45.72,0,0,F,0,288.7,288.7,0,0
23,23,1,183.89,-45.84,0,0,F,0,288.2,288.7,0,0
24,24,1,181.3,-45.9,0,0,F,0,287.7,288.6,0,0
25,25,1,178.7,-45.9,0,0,F,0,287,287.4,0,0
26,26,1,176.11,-45.84,0,0,F,0,286.8,286.7,0,0
27,27,1,173.53,-45.72,0,0,F,0,286.9,285.9,0,0
28,28,1,170.98,-45.54,0,0,F,0,287,284.9,0,0
29,29,1,168.46,-45.31,2,0,T,2,288.2,283.9,0.34,0.3
30,30,1,165.98,-45.03,0,0,F,0,287.9,284.5,0,0
31,31,1,163.56,-44.69,0,0,F,0,287.6,284.5,0,0
32,32,1,161.18,-44.31,0,0,F,0,287.8,284.5,0,0
33,33,1,158.88,-43.89,0,0,F,0,288.5,287.6,0,0
34,34,1,156.64,-43.42,0,0,F,0,289.1,289.9,0,0
35,35,1,154.47,-42.92,0,0,F,0,289.6,288.4,0,0
36,36,1,152.39,-42.39,0,0,F,0,290,288,0,0
37,37,1,150.38,-41.84,0,0,F,0,290.7,288,0,0
38,38,1,148.46,-41.26,0,0,F,0,291.1,288.1,0,0
39,39,1,146.63,-40.67,0,0,F,0,292,288.2,0,0
40,40,1,144.89,-40.07,0,0,F,0,291.5,288.4,0,0
41,41,1,143.25,-39.46,0,0,F,0,291,288.7,0,0
42,42,1,141.7,-38.85,0,0,F,0,290.8,288.8,0,0
43,43,1,140.25,-38.25,0,0,F,0,290.9,289,0,0
44,44,1,138.92,-37.67,0,0,F,0,291.4,289.3,0,0
